author,text,mentions,timestamp,tweet_id,tweet_url,replies,reposts,likes,bookmarks,views
@elonmuskADO,"Fan Elon Musk  · 13h Parody account Eye test 

I know 99% of you will fail this Question 

What number do you see ? 553 46 212 20K",@elonmuskADO,2025-11-08T06:19:31.000Z,1987042279471681600,https://x.com/elonmuskADO/status/1987042279471681600,553,46,212,12,20831
@elonmusknews30,"Commentary Elon Musk News  · Nov 7 Commentary account Almost half of Americans don’t like Elon Musk ,if you like him leave a red heart or give him thumbs up 3.2K 808 9.5K 111K",@elonmusknews30,2025-11-07T13:50:33.000Z,1986793397961506944,https://x.com/elonmusknews30/status/1986793397961506944,3216,808,9543,50,111290
@CrewsMat10,MC  · Nov 1 Elon musk has changed the like button to celebrate Halloween #halloween 258 907 85K 1.6M,@CrewsMat10,2025-11-01T15:49:06.000Z,1984648906056294687,https://x.com/CrewsMat10/status/1984648906056294687,258,907,85828,596,1665832
@it_Rutie,RUTH   · Nov 2 Elon musk has changed the like button to celebrate Halloween. #halloween 268 431 35K 572K,@it_Rutie,2025-11-02T16:29:30.000Z,1985021458246975527,https://x.com/it_Rutie/status/1985021458246975527,268,431,35568,169,572765
@elonmusknews30,"Commentary Elon Musk News  · Nov 7 Commentary account Do you like Cherry Red Tesla?

Yes or No 739 248 1.3K 25K",@elonmusknews30,2025-11-07T07:13:14.000Z,1986693408430174278,https://x.com/elonmusknews30/status/1986693408430174278,739,248,1305,26,25922
@ElonMusk_Lord,"(Fan) Elon Musk  · Nov 7 Parody account Melania Trump is the most Beautiful first lady ever.

Do you agree?

A. Yes
B.  No 818 306 1.5K 34K",@ElonMusk_Lord,2025-11-07T07:44:45.000Z,1986701339640963113,https://x.com/ElonMusk_Lord/status/1986701339640963113,818,306,1599,23,34093
@elonmusknews30,"Commentary Elon Musk News  · 22h Commentary account I'm here to help you, not to harm you. I love y'all  I need a Hi message from my true fans 404 147 538 11K",@elonmusknews30,2025-11-07T20:46:42.000Z,1986898124892147779,https://x.com/elonmusknews30/status/1986898124892147779,404,147,538,8,11982
@iam_smx,SMX  · Nov 5 Elon Musk went all in to help Trump and delivered victory exactly one year ago today. Elon ’s efforts truly made a difference. 429 696 4.8K 57K,@iam_smx,2025-11-05T21:28:45.000Z,1986183933264846929,https://x.com/iam_smx/status/1986183933264846929,429,696,4856,149,57361
@CFC_dennoh,Dennoh  · Nov 1 Elon musk has changed the like button to celebrate Halloween #Halloween 63 568 47K 770K,@CFC_dennoh,2025-11-01T16:41:47.000Z,1984662162464280744,https://x.com/CFC_dennoh/status/1984662162464280744,63,568,47472,363,770370
@ElonMuskNews47,"Commentary Elon Musk  · Nov 4 Parody account $10 million hits your account. Your next move?

A. marriage
B. Invest 
C. Give to poor
D. Buy a house for mom
E. Travel the world 922 201 2K 59K",@ElonMuskNews47,2025-11-04T20:51:19.000Z,1985812125311516729,https://x.com/ElonMuskNews47/status/1985812125311516729,922,201,2020,54,59547
